Time,Day,Date,T.Max,T.Min,Rain,Evap,Radn,VP,RHmaxT,RHminT,Soil_Temperature
19750402,92,2/4/1975,27.7,22.2,0.2,4,11.2,27.5,74,100,24.33
19750403,93,3/4/1975,32.4,22.9,44.6,3.8,9.8,29.3,60.2,100,26.57
19750404,94,4/4/1975,33.3,24.2,2.2,4.3,12.8,31.3,61.2,100,27.72
19750405,95,5/4/1975,33,23.5,37.6,4.5,13.2,30,59.6,100,27.17
19750406,96,6/4/1975,33.4,23.2,0,6.1,17.8,29.3,57,100,27.14
19750407,97,7/4/1975,32.5,22.4,0,6.5,14.9,19.4,39.7,71.6,26.31
19750408,98,8/4/1975,31.1,22.5,0,4.5,6.5,21,46.5,77.1,25.83
19750409,99,9/4/1975,30.4,23.2,0.8,5.7,7.3,25.1,57.8,88.3,25.98
19750410,100,10/4/1975,28.8,22.6,10.2,2.9,6.8,27,68.2,98.5,25
19750411,101,11/4/1975,32,22.5,0.8,5.5,17.4,25.4,53.4,93.2,26.17
19750412,102,12/4/1975,32.2,23,1.8,4.7,13.8,26.8,55.7,95.4,26.56
19750413,103,13/04/1975,33.2,22.6,0,7,20.2,25.8,50.7,94.1,26.7
19750414,104,14/04/1975,33.3,21.9,0,5.5,19.9,26.5,51.8,100,26.31
19750415,105,15/04/1975,33.6,22.5,0,6.8,22.4,26.1,50.2,95.8,26.79
19750416,106,16/04/1975,32.8,21.2,0,7.2,13.9,25.1,50.5,99.7,25.69
19750417,107,17/04/1975,32.4,19.6,0,5.8,19.4,21.5,44.2,94.3,24.55
19750418,108,18/04/1975,32.4,19.9,0,5.1,9,22.3,45.9,96,24.73
19750419,109,19/04/1975,33,19.2,0,5.5,16.6,20.6,41,92.6,24.54
19750420,110,20/04/1975,33.6,19.4,0,3.9,7.2,21,40.4,93.3,24.89
19750421,111,21/04/1975,33.6,20.2,0,5.2,7.4,25.2,48.4,100,25.38
19750422,112,22/04/1975,34.4,19.8,0,4.9,7.8,24.2,44.5,100,25.45
19750423,113,23/04/1975,35.5,19.8,0,7.1,14.1,26.3,45.5,100,25.87
19750424,114,24/04/1975,32.1,22.6,0,4.4,7.2,25.7,53.7,93.8,26.27
19750425,115,25/04/1975,31.9,20.2,0,6.6,20,18,38.1,76.1,24.72
19750426,116,26/04/1975,30.6,17.1,0,6.7,22.4,13.5,30.7,69.3,22.32
19750427,117,27/04/1975,31.9,15.6,0,6,22.4,18,38.1,100,21.9
19750428,118,28/04/1975,31.7,18.2,0,5.8,19.9,21.1,45.1,100,23.42
19750429,119,29/04/1975,33.2,18.3,0,5.3,21.4,19.6,38.5,93.2,24.06
19750430,120,30/04/1975,32.5,17.3,0,6,21.3,19,38.8,96.3,23.18
19750501,121,1/5/1975,33.6,20.6,0,6.5,17.7,21.9,42.1,90.3,25.63
19750502,122,2/5/1975,33.5,22.2,0,6.5,19,20.3,39.2,75.9,26.57
19750503,123,3/5/1975,33.6,19.1,0,5.9,20.9,19.6,37.7,88.7,24.71
19750504,124,4/5/1975,33.2,19.9,0,6.3,20.1,23.5,46.2,100,25.04
19750505,125,5/5/1975,33,18.5,0,5.6,21.3,21,41.7,98.7,24.11
19750506,126,6/5/1975,33.1,21,0,6.3,19.3,22.3,44.1,89.7,25.68
19750507,127,7/5/1975,32.9,21.6,0,5.7,18.2,26.7,53.4,100,25.97
19750508,128,8/5/1975,32.4,19,0,6.2,15.4,20.5,42.2,93.3,24.18
19750509,129,9/5/1975,31.5,20.3,0,6.5,19.2,14,30.3,58.8,24.63
19750510,130,10/5/1975,31.1,19,0,7,18,14.2,31.4,64.7,23.68
19750511,131,11/5/1975,30.6,18.5,0,6.3,19.9,12.2,27.8,57.3,23.18
19750512,132,12/5/1975,30.7,17,0,6.1,19,12.1,27.4,62.5,22.3
19750513,133,13/05/1975,31.2,14.8,0,5.8,19.9,12.3,27.1,73.1,21.14
19750514,134,14/05/1975,31.2,15.3,0,6.5,14.7,11.7,25.7,67.3,21.45
19750515,135,15/05/1975,30.1,16.5,0,6.2,16.5,12.1,28.4,64.5,21.76
19750516,136,16/05/1975,29.3,16.3,0,6.4,15,11.5,28.2,62.1,21.33
19750517,137,17/05/1975,29.6,16.4,0,6.1,17.9,9.6,23.2,51.5,21.5
19750518,138,18/05/1975,31.1,14.1,0,6.1,17.3,12,26.6,74.6,20.67
19750519,139,19/05/1975,31.4,14.7,0,5.6,19.1,13.6,29.6,81.4,21.16
19750520,140,20/05/1975,31.9,15,0,5.4,16.3,13.9,29.4,81.6,21.54
19750521,141,21/05/1975,33.1,19.1,0,5.4,17.8,21.3,42.1,96.4,24.51
19750522,142,22/05/1975,33.1,18.8,0,5.5,19.4,19.3,38.2,89,24.33
19750523,143,23/05/1975,32.8,17.7,0,5.7,19.7,19.2,38.6,94.9,23.54
19750524,144,24/05/1975,32.8,18,0,5.8,19.1,19.6,39.4,95,23.72
19750525,145,25/05/1975,31.6,17.3,0,6.8,19.9,12.9,27.8,65.4,22.83
19750526,146,26/05/1975,29.4,13.8,0,6.6,21,8,19.5,50.7,19.83
19750527,147,27/05/1975,28.2,11.7,0,6.1,21.3,9.9,25.9,72,18.08
19750528,148,28/05/1975,29.1,10.9,0,5.4,20.8,10.3,25.6,79,17.94
19750529,149,29/05/1975,30.1,11.4,0,5.8,20.8,10.2,23.9,75.7,18.63
19750530,150,30/05/1975,30,13.6,0,5.7,20.4,17.4,41,100,19.94
19750531,151,31/05/1975,30.5,14.2,0,4.5,18.2,21.6,49.5,100,20.5
19750601,152,1/6/1975,31.2,17.4,0,4.8,17,22.1,48.6,100,22.74
19750602,153,2/6/1975,31,18.1,0,5.9,19.6,19.8,44.1,95.4,23.09
19750603,154,3/6/1975,30.1,14.9,0,5.4,18.3,18.7,43.8,100,20.78
19750604,155,4/6/1975,31.6,20.8,0,6.2,18.3,19.6,42.2,79.8,24.98
19750605,156,5/6/1975,30.3,18,0,8.1,18.2,18.4,42.6,89.2,22.76
19750606,157,6/6/1975,28.8,17.6,0,7.3,20.9,8.7,22,43.3,21.93
19750607,158,7/6/1975,29.8,17.1,0,5.9,20.2,9.3,22.2,47.7,22.01
19750608,159,8/6/1975,29.5,15.8,0,3.9,14.1,15.7,38.1,87.5,21.1
19750609,160,9/6/1975,28.6,15.3,0,5,10.1,21.3,54.4,100,20.44
19750610,161,10/6/1975,30,18.3,0,6.3,14,17.7,41.7,84.2,22.82
19750611,162,11/6/1975,30.1,16,0,6.9,17.2,12.8,30,70.4,21.45
19750612,163,12/6/1975,29.7,14.7,0,7.8,19,13.1,31.4,78.4,20.5
19750613,164,13/06/1975,27.4,17.8,0,7.9,20.5,9.4,25.8,46.1,21.51
19750614,165,14/06/1975,24.6,12.8,0,7.5,20.7,4.9,15.8,33.2,17.36
19750615,166,15/06/1975,24.5,6.3,0,5.6,20.7,4.6,15,48.2,13.34
19750616,167,16/06/1975,24.5,6.1,0,5.2,20.8,6,19.5,63.8,13.22
19750617,168,17/06/1975,26.9,8,0,4.3,20.2,10.2,28.8,95.1,15.31
19750618,169,18/06/1975,30,9,0,4.8,20.1,10.7,25.2,93.3,17.12
19750619,170,19/06/1975,29.1,10.1,0,5.9,20.3,11.6,28.8,93.9,17.45
19750620,171,20/06/1975,26.7,8.7,0,5.9,20.5,8,22.8,71.2,15.66
19750621,172,21/06/1975,26.8,7.8,0,4.8,20,8.5,24.1,80.4,15.15
19750622,173,22/06/1975,28.8,9.4,0,4.9,19.7,12.6,31.8,100,16.9
19750623,174,23/06/1975,30.8,12.4,0,4.4,19.5,15.3,34.4,100,19.52
19750624,175,24/06/1975,31.6,16.7,0,4.4,18.7,22.2,47.8,100,22.46
19750625,176,25/06/1975,34.1,17.7,0,4.8,19.4,22.9,42.8,100,24.04
19750626,177,26/06/1975,33.1,18.7,0,4.4,18,23.6,46.7,100,24.27
19750627,178,27/06/1975,33.7,19.4,0,5.3,17.6,24.4,46.6,100,24.93
19750628,179,28/06/1975,32.6,20.6,0,4.9,17.2,24.5,49.8,100,25.24
19750629,180,29/06/1975,31.4,19.6,0,5.7,15.9,19.9,43.3,87.3,24.16
19750630,181,30/06/1975,30.5,17.4,0,5.4,18.9,20,45.8,100,22.47
19750701,182,1/7/1975,30.9,16.4,0,4.9,19.6,19.8,44.3,100,22.01
19750702,183,2/7/1975,31.6,18.3,0,5.6,19.4,21.1,45.4,100,23.44
19750703,184,3/7/1975,31.8,17.1,0,7.4,18.7,21,44.7,100,22.78
19750704,185,4/7/1975,29,19,0,6.2,19.4,15.6,38.9,71,22.87
19750705,186,5/7/1975,27.1,15.2,0,6.2,20.8,8.7,24.3,50.4,19.8
19750706,187,6/7/1975,28.2,11,0,5.6,20,9.7,25.4,73.9,17.65
19750707,188,7/7/1975,29.3,11.9,0,5.9,21,11.1,27.2,79.7,18.63
19750708,189,8/7/1975,29.5,12.6,0,5.4,19.9,12.7,30.8,87.1,19.14
19750709,190,9/7/1975,30.1,11.2,0,5.6,11.9,12,28.1,90.3,18.51
19750710,191,10/7/1975,31.4,11.8,0,5.9,18.6,13.2,28.7,95.4,19.38
19750711,192,11/7/1975,31.2,12.8,0,5.8,20.4,12.2,26.8,82.6,19.92
19750712,193,12/7/1975,31.4,11.9,0,5.6,19.7,15.1,32.9,100,19.44
19750713,194,13/07/1975,32.6,12.3,0,5.6,16.9,13.5,27.4,94.4,20.15
19750714,195,14/07/1975,31.8,15.3,0,6.6,18.6,15.3,32.5,88.1,21.68
19750715,196,15/07/1975,30.2,15.7,0,6.9,20.7,12.5,29.1,70.1,21.31
19750716,197,16/07/1975,30.1,15,0,5.9,20.8,13,30.5,76.3,20.84
19750717,198,17/07/1975,31.6,13,0,5.8,20.7,15.5,33.3,100,20.19
19750718,199,18/07/1975,32.7,14.9,0,5.7,20.1,20.1,40.6,100,21.78
19750719,200,19/07/1975,32.9,16.3,0,5.6,19.5,20.9,41.8,100,22.72
19750720,201,20/07/1975,33.3,15.8,0,6,20.3,20.1,39.3,100,22.57
19750721,202,21/07/1975,33.5,16.9,0,6.8,14.9,19.5,37.7,100,23.32
19750722,203,22/07/1975,33.6,15.4,0,7,20.5,18.8,36.1,100,22.44
19750723,204,23/07/1975,33.2,15,0,6.7,20.5,19.3,37.9,100,22.04
19750724,205,24/07/1975,34.1,15.2,0,6.6,18.8,17.9,33.5,100,22.51
19750725,206,25/07/1975,32.4,16.2,0,4.5,20.8,17.2,35.4,93.5,22.46
19750726,207,26/07/1975,32.5,16.9,0,7.1,20,19.7,40.3,100,22.93
19750727,208,27/07/1975,33.3,17.2,0,6.2,19.3,18.2,35.6,92.8,23.43
19750728,209,28/07/1975,33,18.6,0,6.7,13.7,21.4,42.5,99.9,24.17
19750729,210,29/07/1975,33.1,17.9,0,6.8,14.2,20.6,40.7,100,23.78
19750730,211,30/07/1975,32.4,17.9,0,5.8,20.5,19.9,40.9,97.1,23.51
19750731,212,31/07/1975,32.9,17.4,0,6.4,19.1,21.2,42.4,100,23.39
19750801,213,1/8/1975,33,17.1,0,6.1,19.2,23.4,46.5,100,23.25
19750802,214,2/8/1975,34.3,17.1,0,5.2,20.5,22.6,41.8,100,23.75
19750803,215,3/8/1975,33.9,18.6,0,6.1,16.8,23.6,44.6,100,24.52
19750804,216,4/8/1975,33.9,21.6,0,6.8,16.6,23.1,43.7,89.6,26.36
19750805,217,5/8/1975,32.1,21.9,0,8.6,17.8,24,50.2,91.4,25.84
19750806,218,6/8/1975,31.9,18,0,8.9,22.6,10.2,21.6,49.4,23.38
19750807,219,7/8/1975,31,14.8,0,6.7,22.9,8.9,19.8,52.9,21.06
19750808,220,8/8/1975,31.1,17,0,6.5,18.5,10.3,22.8,53.2,22.45
19750809,221,9/8/1975,32.9,17.3,0,7.5,20.5,19.1,38.2,96.8,23.33
19750810,222,10/8/1975,34.1,19.1,0,6.8,19,22.8,42.6,100,24.9
19750811,223,11/8/1975,34.5,20.4,0,6.4,16.8,22.4,41,93.5,25.85
19750812,224,12/8/1975,33,19.3,0,7.9,21.3,16.8,33.4,75.1,24.6
19750813,225,13/08/1975,30.8,18,0,8.8,23.2,9.3,20.9,45.1,22.95
19750814,226,14/08/1975,31.3,14.5,0,8.4,23.8,8.2,17.9,49.7,21
19750815,227,15/08/1975,30.6,17.1,0,8.5,23.7,7.1,16.2,36.4,22.32
19750816,228,16/08/1975,28.1,15.7,0,7.3,22.4,7.9,20.8,44.3,20.5
19750817,229,17/08/1975,29.5,10,0,7.1,24.1,7.7,18.7,62.8,17.54
19750818,230,18/08/1975,32.3,10.6,0,5.8,22.8,11.8,24.4,92.4,18.99
19750819,231,19/08/1975,32,12.7,0,4.9,23,15.6,32.8,100,20.16
19750820,232,20/08/1975,32.8,17.8,0,6.3,21.6,17,34.2,83.5,23.6
19750821,233,21/08/1975,33.1,15.5,0,6.3,22.9,18.7,37,100,22.31
19750822,234,22/08/1975,33.3,16.3,0,6.6,23.3,19.2,37.5,100,22.87
19750823,235,23/08/1975,32.2,16.1,0,6.5,22.8,19.3,40.1,100,22.33
19750824,236,24/08/1975,32.3,14.1,0,8.2,23.5,19.7,40.7,100,21.14
19750825,237,25/08/1975,33,12.3,0,7.8,23.7,17.5,34.8,100,20.3
19750826,238,26/08/1975,34.4,14,0,7.1,23.6,15.9,29.2,99.5,21.89
19750827,239,27/08/1975,35.1,17.1,0,6.6,23.5,22.8,40.3,100,24.06
19750828,240,28/08/1975,35.9,19.1,0,7.6,23.6,22.4,37.9,100,25.6
19750829,241,29/08/1975,36.6,17.6,0,7.7,22.2,22.1,36,100,24.95
19750830,242,30/08/1975,36.2,19.3,0,7.3,23.4,22.5,37.5,100,25.84
19750831,243,31/08/1975,36,21.9,0,7,20.2,22.3,37.5,84.9,27.35
19750901,244,1/9/1975,36.1,22,0,7,22,26.4,44.2,99.9,27.45
19750902,245,2/9/1975,35.5,22.4,0,6.4,15.9,26.2,45.3,96.8,27.47
19750903,246,3/9/1975,37.7,22.3,0,7.3,21.9,23.9,36.7,88.8,28.26
19750904,247,4/9/1975,35.2,21.7,0,8.5,22.5,18.4,32.4,70.9,26.92
19750905,248,5/9/1975,33.4,20.5,0,11.8,17.2,6.1,11.9,25.3,25.49
19750906,249,6/9/1975,32.2,15,0,9.8,25.4,6.7,13.9,39.3,21.65
19750907,250,7/9/1975,32.4,18,0,10.3,25.5,9.9,20.4,48,23.57
19750908,251,8/9/1975,30.9,15.2,0,8.8,24.3,16.6,37.2,96.2,21.27
19750909,252,9/9/1975,32,13.3,0,7.8,25.4,12.7,26.7,83.2,20.53
19750910,253,10/9/1975,32.8,14.6,0,7.6,23.8,20.2,40.6,100,21.64
19750911,254,11/9/1975,36.3,20.9,0,8.4,21,23.2,38.4,93.9,26.86
19750912,255,12/9/1975,36.3,23.9,0,7.7,22,24.8,41.1,83.6,28.7
19750913,256,13/09/1975,35.9,24.6,0,7.3,15.9,27.8,47,89.9,28.97
19750914,257,14/09/1975,36.2,22.9,33.4,8,19.9,27.8,46.3,99.6,28.04
19750915,258,15/09/1975,36.5,22.4,0,6.9,20.4,28.8,47.2,100,27.85
19750916,259,16/09/1975,36.6,22.2,0,7,22.1,25.5,41.5,95.3,27.77
19750917,260,17/09/1975,37.4,22.8,0,8.2,20.7,28.8,44.9,100,28.45
19750918,261,18/09/1975,36.7,22.8,0,7.6,20.3,26.3,42.6,94.8,28.18
19750919,262,19/09/1975,37.4,22.8,0,8.8,24.6,26.2,40.8,94.4,28.45
19750920,263,20/09/1975,37.1,20.2,0,9.9,23.5,26,41.2,100,26.74
19750921,264,21/09/1975,37.7,21.1,0,9,24.1,27.6,42.3,100,27.52
19750922,265,22/09/1975,38.3,22,0,8.1,19.4,29.3,43.5,100,28.3
19750923,266,23/09/1975,38.3,23.7,0,9,16.6,27.9,41.4,95.2,29.35
19750924,267,24/09/1975,36.9,25.4,0,10.9,23,28,44.9,86.3,29.85
19750925,268,25/09/1975,37.1,25.2,0,8.3,24.4,28.1,44.5,87.7,29.8
19750926,269,26/09/1975,37.4,24,0,8.8,22.7,23.5,36.6,78.8,29.18
19750927,270,27/09/1975,38.9,22.8,0,7.2,23.9,26.1,37.5,94.1,29.03
19750928,271,28/09/1975,37,25.1,0,4.3,17.7,26.8,42.7,84.1,29.7
19750929,272,29/09/1975,36.3,25.7,0.4,6.4,12.9,28,46.4,84.8,29.8
19750930,273,30/09/1975,35.8,23.5,0.2,6.9,22,26.8,45.6,92.6,28.26
19751001,274,1/10/1975,32,22.6,2.2,4.8,17.4,27.5,57.8,100,26.24
19751002,275,2/10/1975,34.3,22.8,1.2,6.8,19.4,26.6,49.2,95.9,27.25
19751003,276,3/10/1975,35.4,23.7,0,7.7,20.8,17.6,30.6,60.1,28.22
19751004,277,4/10/1975,35.4,23.8,0,9,22.3,20.8,36.2,70.6,28.29
19751005,278,5/10/1975,38,22.9,0,7.2,24.8,23.4,35.3,83.8,28.74
19751006,279,6/10/1975,38.1,24.5,1.4,7.4,18.9,28,42,91.1,29.76
19751007,280,7/10/1975,36.5,23.6,2.2,5.9,15.1,27.1,44.4,93.1,28.59
19751008,281,8/10/1975,36.2,24.2,4.6,5.4,21.4,29,48.3,96.1,28.84
19751009,282,9/10/1975,36.8,24.2,1.5,6.2,14.6,27.9,44.9,92.4,29.07
19751010,283,10/10/1975,35.9,25.1,0,5.9,11.2,29.7,50.3,93.2,29.28
19751011,284,11/10/1975,37.1,24.9,0.8,6.5,22.5,28.4,45,90.2,29.62
19751012,285,12/10/1975,36.8,25.3,0,5.2,15.4,26.8,43.2,83.1,29.75
19751013,286,13/10/1975,36.1,23.4,7.6,7,8.6,22.1,37,76.8,28.31
19751014,287,14/10/1975,36.1,24,0,7.9,16.1,20.4,34.1,68.4,28.68
19751015,288,15/10/1975,36.1,21.3,0,6.5,24.7,17.2,28.8,67.9,27.02
19751016,289,16/10/1975,38.5,21.3,0,7.4,27,21.9,32.2,86.5,27.95
19751017,290,17/10/1975,38.6,24.2,0,7,24.7,29.2,42.7,96.7,29.77
19751018,291,18/10/1975,35.3,26.1,0,6,13.9,29.6,51.8,87.6,29.66
19751019,292,19/10/1975,36.9,22,12.4,6.5,19.6,29.9,47.9,100,27.76
19751020,293,20/10/1975,36.5,24.5,0.4,6.7,17.9,27.6,45.2,89.8,29.14
19751021,294,21/10/1975,35.2,22.4,9.4,6.3,11.5,30.3,53.3,100,27.35
19751022,295,22/10/1975,37.2,24.4,0.4,8,23.1,30.3,47.8,99.2,29.35
19751023,296,23/10/1975,35,24.7,0,9,25.7,17.6,31.3,56.6,28.68
19751024,297,24/10/1975,34.5,16.6,0,7.9,28.7,14.7,26.9,77.9,23.52
19751025,298,25/10/1975,35.1,17.8,0,8,25.9,16.8,29.7,82.5,24.49
19751026,299,26/10/1975,35.9,21.8,0,7.9,25.6,21.3,36,81.6,27.25
19751027,300,27/10/1975,37.2,22.6,0,7.2,27.2,22.3,35.1,81.4,28.25
19751028,301,28/10/1975,38,25.1,0,4,22.4,27.7,41.8,86.9,30.09
19751029,302,29/10/1975,36.9,24.7,0,4.3,19.4,29.1,46.6,93.6,29.42
19751030,303,30/10/1975,35.2,22.4,27.2,5.4,17.3,28.5,50.1,100,27.35
19751031,304,31/10/1975,33.2,24.5,0.7,5.6,9,29.8,58.6,97,27.86
19751101,305,1/11/1975,35.8,21.2,16.8,7.7,23.9,31,52.7,100,26.85
19751102,306,2/11/1975,37.3,24.8,0,6.9,22,31,48.6,99.1,29.63
